Category	Reaction	Geneset/#Geneset	GeneName/#Gene	GB_GCA_003599485.1	GB_GCA_023381235.1	GB_GCA_023484125.1
Nitrogen	Nitrate reduction (Rev)	1		N	N	N
Nitrogen	Nitrate reduction	1		N	N	N
Nitrogen	Nitrite reduction to Ammonia	3		Y	Y	Y
Nitrogen	Nitrite reduction to Nitric oxide (Rev)	1		Y	Y	Y
Nitrogen	Nitrite reduction to Nitric oxide	1		N	N	N
Nitrogen	Nitric oxide reduction to Nitrous oxide	2		N	N	N
Nitrogen	Nitrous oxide reduction	1		N	N	N
Nitrogen	Nitrogen fixation	2		N	N	N
Nitrogen	Ammonia oxidation	1		N	N	N
Nitrogen	Hydroxylamine oxidation (Rev)	1		N	N	N
Nitrogen	Nitric oxide dioxidation	1		N	N	N
Nitrogen	Hydrazine synthesis	1		N	N	N
Nitrogen	Hydrazine dehydrogenesis to Nitrogen gas	1		N	N	N
Nitrogen	Urea hydrolysis	3		Y	Y	Y
Nitrogen	Urea amidolyase	2		N	N	N
Nitrogen	Glutamate deamination	2		N	N	N
Nitrogen	Cyanide deamination	1		N	N	N
Nitrogen	Nitrile deamination	1		N	N	N
Nitrogen	Nitroalkane deamination	2		N	N	N
Sulfur	Sulfate reduction (Rev). Sulfate to APS	1		N	N	N
Sulfur	Sulfate reduction (Rev). APS to Sulfite	2		N	N	N
Sulfur	Sulfur oxidation	2		N	N	N
Sulfur	Sulfite oxidation	3		N	N	N
Sulfur	Sulfide oxidation	2		Y	Y	Y
Sulfur	Sulfite reduction	1		N	N	N
Sulfur	Sulfur reduction	3		Y	Y	Y
Sulfur	Thiosulfate oxidation to sulfate	1		Y	N	N
Sulfur	Thiosulfate oxidation to sulfite	1		N	N	N
Sulfur	Thiosulfate oxidation to tetrathionate	2		Y	Y	Y
Sulfur	Tetrathionate reduction to thiosulfate	1		N	N	N
Sulfur	Thiosulfate oxidation to Sulfur-Sulfite	1		N	N	N
Sulfur	Sulfur mineralization (Methionine)	1		N	N	N
Sulfur	Sulfur mineralization (Cysteine)	2		N	N	N
Sulfur	Sulfur mineralization (Methanesulfonate)	1		N	N	N
Sulfur	Sulfur mineralization (Sulfopropanediol)	1		N	N	N
Sulfur	Sulfur mineralization (Taurine)	1		N	N	N
Sulfur	Sulfur mineralization (Sulfoacetaldehyde)	1		N	N	N
Sulfur	Sulfur mineralization (Sulfate esters)	2		N	N	N
Sulfur	Sulfur mineralization (Alkanesulfonate)	1		N	N	N
Fermentation	glucose to pyruvate and acetyl-P	1		Y	N	Y
Fermentation	pyruvate to lactate	2		Y	Y	Y
Fermentation	lactate to acetate	1		Y	Y	Y
Fermentation	pyruvate to acetate	1		N	N	N
Fermentation	pyruvate to Acetyl-P	1		N	N	N
Fermentation	acetyl-P to acetate	2		Y	Y	Y
Fermentation	Acetyl-CoA to Acetate	1		N	N	N
Fermentation	Acetyl-CoA to Acetyl-P	2		N	N	N
Fermentation	Acetate to Acetaldehyde	5		N	N	N
Fermentation	Acetyl-CoA to Acetaldehyde	5		N	N	N
Fermentation	Acetaldehyde to Ethanol	14		N	N	N
Fermentation	Pyruvate to propionate	1		N	N	N
Fermentation	Pyruvate to butylate	1		N	N	N
Fermentation	Pyruvate to butanol	1		N	N	N
Fermentation	Pyruvate to Butanediol	1		N	N	N
Fermentation	pyruvate to formate and Acetyl-CoA	1		N	N	N
Fermentation	Formate to CO2 & H2	7		N	N	N
Carbon	Methane oxidation	1		N	N	N
Carbon	Aerobic methanogenesis	1		N	N	N
Carbon	Anaerobic carbon monoxide oxidation (Rev)	2		N	N	N
Carbon	CBB Cycle	1		Y	Y	N
Carbon	Acetyle CoA Synthesis (Bacteria, WL)	1		N	N	N
Carbon	Acetyle CoA Synthesis (Archaea, WL)	1		N	N	N
Carbon	phosphorylation ED pathway	1		N	N	N
Carbon	semi-phosphorylation ED pathway	1		N	N	N
Carbon	semi-phosphorylation ED pathway alternative	1		N	N	N
Carbon	Low affinity cytochrome c oxidase aa3	2		N	N	N
Carbon	High affinity cytochrome c oxidase cbb3	2		Y	Y	Y
Hydrogen	Hydrogenase	5		Y	Y	Y
